timestamp,time_s,position_m,velocity_m_s,temperature_c,sensor
2026-01-01T00:00:15Z,15.0,26.481,1.668,20.69,A
2026-01-01T00:00:15Z,15.5,27.905,2.847,22.32,B
2026-01-01T00:00:16Z,16.0,29.661,3.512,23.59,C
2026-01-01T00:00:16Z,16.5,30.687,2.053,20.93,A
2026-01-01T00:00:17Z,17.0,32.148,2.922,22.05,B
2026-01-01T00:00:17Z,17.5,34.030,3.764,23.19,C
2026-01-01T00:00:18Z,18.0,35.008,1.957,20.87,A
2026-01-01T00:00:18Z,18.5,36.699,3.382,22.26,B
2026-01-01T00:00:19Z,19.0,38.644,3.889,23.34,C
2026-01-01T00:00:19Z,19.5,39.851,2.415,21.16,A
2026-01-01T00:00:20Z,20.0,41.569,3.436,22.22,B
2026-01-01T00:00:20Z,20.5,43.745,4.351,23.42,C
2026-01-01T00:00:21Z,21.0,45.046,2.603,21.14,A
2026-01-01T00:00:21Z,21.5,46.797,3.502,22.16,B
2026-01-01T00:00:22Z,22.0,48.886,4.177,23.75,C
2026-01-01T00:00:22Z,22.5,50.411,3.050,20.21,A
2026-01-01T00:00:23Z,23.0,52.314,3.806,22.53,B
2026-01-01T00:00:23Z,23.5,54.677,4.727,23.96,C
2026-01-01T00:00:24Z,24.0,56.248,3.141,20.74,A
2026-01-01T00:00:24Z,24.5,58.173,3.852,22.15,B
2026-01-01T00:00:25Z,25.0,60.377,4.408,24.10,C
2026-01-01T00:00:25Z,25.5,61.965,3.176,20.43,A
2026-01-01T00:00:26Z,26.0,63.963,3.996,22.22,B
2026-01-01T00:00:26Z,26.5,66.346,4.766,23.59,C
2026-01-01T00:00:27Z,27.0,68.014,3.334,20.87,A
2026-01-01T00:00:27Z,27.5,70.132,4.238,22.21,B
2026-01-01T00:00:28Z,28.0,72.505,4.746,23.49,C
2026-01-01T00:00:28Z,28.5,74.152,3.294,20.85,A
2026-01-01T00:00:29Z,29.0,76.434,4.563,22.56,B
2026-01-01T00:00:29Z,29.5,79.125,5.383,24.09,C
2026-01-01T00:00:30Z,30.0,80.883,3.516,21.12,A
2026-01-01T00:00:30Z,30.5,83.195,4.625,21.86,B
2026-01-01T00:00:31Z,31.0,85.740,5.089,23.30,C
2026-01-01T00:00:31Z,31.5,87.735,3.990,20.54,A
2026-01-01T00:00:32Z,32.0,89.965,4.460,22.42,B
2026-01-01T00:00:32Z,32.5,92.694,5.458,23.37,C
2026-01-01T00:00:33Z,33.0,94.596,3.805,20.83,A
2026-01-01T00:00:33Z,33.5,96.930,4.667,22.08,B
2026-01-01T00:00:34Z,34.0,99.855,5.850,23.77,C
2026-01-01T00:00:34Z,34.5,101.891,4.073,20.79,A
2026-01-01T00:00:35Z,35.0,104.267,4.751,22.21,B
2026-01-01T00:00:35Z,35.5,107.190,5.846,23.51,C
2026-01-01T00:00:36Z,36.0,109.247,4.115,21.23,A
2026-01-01T00:00:36Z,36.5,111.853,5.212,22.04,B
2026-01-01T00:00:37Z,37.0,114.916,6.125,24.16,C
2026-01-01T00:00:37Z,37.5,117.031,4.230,20.36,A
2026-01-01T00:00:38Z,38.0,119.612,5.161,22.57,B
2026-01-01T00:00:38Z,38.5,122.624,6.025,24.06,C
2026-01-01T00:00:39Z,39.0,125.020,4.791,20.90,A
2026-01-01T00:00:39Z,39.5,127.705,5.372,22.84,B
2026-01-01T00:00:40Z,40.0,130.992,6.573,23.88,C
2026-01-01T00:00:40Z,40.5,133.333,4.683,21.02,A
2026-01-01T00:00:41Z,41.0,136.154,5.641,22.45,B
2026-01-01T00:00:41Z,41.5,139.379,6.451,24.01,C
2026-01-01T00:00:42Z,42.0,141.753,4.747,20.68,A
2026-01-01T00:00:42Z,42.5,144.826,6.147,22.76,B
2026-01-01T00:00:43Z,43.0,148.128,6.604,24.25,C
2026-01-01T00:00:43Z,43.5,150.658,5.060,21.34,A
2026-01-01T00:00:44Z,44.0,153.744,6.173,22.32,B
2026-01-01T00:00:44Z,44.5,157.110,6.731,23.42,C
2026-01-01T00:00:45Z,45.0,159.890,5.560,20.45,A
2026-01-01T00:00:45Z,45.5,163.079,6.377,22.88,B
2026-01-01T00:00:46Z,46.0,166.619,7.081,23.59,C
2026-01-01T00:00:46Z,46.5,169.475,5.711,21.40,A
2026-01-01T00:00:47Z,47.0,172.708,6.465,22.44,B
2026-01-01T00:00:47Z,47.5,176.268,7.122,23.78,C
2026-01-01T00:00:48Z,48.0,179.003,5.470,21.11,A
2026-01-01T00:00:48Z,48.5,182.232,6.458,22.14,B
2026-01-01T00:00:49Z,49.0,185.788,7.112,24.11,C
2026-01-01T00:00:49Z,49.5,188.627,5.678,20.95,A
2026-01-01T00:00:50Z,50.0,191.900,6.546,22.83,B
2026-01-01T00:00:50Z,50.5,195.771,7.741,23.48,C
2026-01-01T00:00:51Z,51.0,198.657,5.772,20.79,A
2026-01-01T00:00:51Z,51.5,202.204,7.094,22.75,B
2026-01-01T00:00:52Z,52.0,205.982,7.555,23.69,C
2026-01-01T00:00:52Z,52.5,209.085,6.206,21.32,A
2026-01-01T00:00:53Z,53.0,212.690,7.210,22.33,B
2026-01-01T00:00:53Z,53.5,216.705,8.029,24.18,C
2026-01-01T00:00:54Z,54.0,219.824,6.240,21.48,A
2026-01-01T00:00:54Z,54.5,223.294,6.938,22.72,B
2026-01-01T00:00:55Z,55.0,227.142,7.697,23.67,C
2026-01-01T00:00:55Z,55.5,230.463,6.641,20.72,A
2026-01-01T00:00:56Z,56.0,234.161,7.398,22.61,B
2026-01-01T00:00:56Z,56.5,238.309,8.295,23.88,C
2026-01-01T00:00:57Z,57.0,241.529,6.441,20.81,A
2026-01-01T00:00:57Z,57.5,245.332,7.605,22.63,B
2026-01-01T00:00:58Z,58.0,249.584,8.504,24.42,C
2026-01-01T00:00:58Z,58.5,252.813,6.459,21.08,A
2026-01-01T00:00:59Z,59.0,256.457,7.287,22.08,B
2026-01-01T00:00:59Z,59.5,260.514,8.114,24.41,C
2026-01-01T00:01:00Z,60.0,264.009,6.989,21.38,A
2026-01-01T00:01:00Z,60.5,267.792,7.567,22.67,B
2026-01-01T00:01:01Z,61.0,272.130,8.676,23.93,C
2026-01-01T00:01:01Z,61.5,275.628,6.995,20.78,A
2026-01-01T00:01:02Z,62.0,279.401,7.546,22.33,B
2026-01-01T00:01:02Z,62.5,283.839,8.876,24.13,C
2026-01-01T00:01:03Z,63.0,287.509,7.341,21.03,A
2026-01-01T00:01:03Z,63.5,291.407,7.796,22.87,B
2026-01-01T00:01:04Z,64.0,295.892,8.970,23.60,C
2026-01-01T00:01:04Z,64.5,299.552,7.319,20.68,A
2026-01-01T00:01:05Z,65.0,303.467,7.829,22.98,B
2026-01-01T00:01:05Z,65.5,307.780,8.627,23.84,C
2026-01-01T00:01:06Z,66.0,311.599,7.638,21.02,A
2026-01-01T00:01:06Z,66.5,315.578,7.957,22.27,B
2026-01-01T00:01:07Z,67.0,320.015,8.875,24.35,C
2026-01-01T00:01:07Z,67.5,323.632,7.233,21.53,A
2026-01-01T00:01:08Z,68.0,327.752,8.240,23.09,B
2026-01-01T00:01:08Z,68.5,332.451,9.399,23.92,C
2026-01-01T00:01:09Z,69.0,336.175,7.447,21.11,A
2026-01-01T00:01:09Z,69.5,340.272,8.195,22.79,B
2026-01-01T00:01:10Z,70.0,344.772,8.999,23.65,C
2026-01-01T00:01:10Z,70.5,348.774,8.005,20.94,A
2026-01-01T00:01:11Z,71.0,353.081,8.613,22.60,B
2026-01-01T00:01:11Z,71.5,357.722,9.282,23.71,C
2026-01-01T00:01:12Z,72.0,361.763,8.081,21.63,A
2026-01-01T00:01:12Z,72.5,366.239,8.954,22.27,B
2026-01-01T00:01:13Z,73.0,370.909,9.339,24.28,C
2026-01-01T00:01:13Z,73.5,375.027,8.236,21.21,A
2026-01-01T00:01:14Z,74.0,379.477,8.899,22.84,B
2026-01-01T00:01:14Z,74.5,384.217,9.479,24.22,C
2026-01-01T00:01:15Z,75.0,388.189,7.945,20.93,A
2026-01-01T00:01:15Z,75.5,392.512,8.646,22.47,B
2026-01-01T00:01:16Z,76.0,397.524,10.024,24.14,C
2026-01-01T00:01:16Z,76.5,401.655,8.262,21.34,A
2026-01-01T00:01:17Z,77.0,406.291,9.271,22.59,B
2026-01-01T00:01:17Z,77.5,411.154,9.726,24.03,C
2026-01-01T00:01:18Z,78.0,415.237,8.167,21.56,A
2026-01-01T00:01:18Z,78.5,419.911,9.348,22.52,B
2026-01-01T00:01:19Z,79.0,424.835,9.847,24.26,C
2026-01-01T00:01:19Z,79.5,429.049,8.428,21.32,A
2026-01-01T00:01:20Z,80.0,433.580,9.062,22.25,B
2026-01-01T00:01:20Z,80.5,438.527,9.895,23.80,C
2026-01-01T00:01:21Z,81.0,442.783,8.512,20.81,A
2026-01-01T00:01:21Z,81.5,447.313,9.060,22.88,B
2026-01-01T00:01:22Z,82.0,452.324,10.022,24.54,C
2026-01-01T00:01:22Z,82.5,456.611,8.575,21.61,A
2026-01-01T00:01:23Z,83.0,461.213,9.204,22.76,B
2026-01-01T00:01:23Z,83.5,466.423,10.420,23.84,C
2026-01-01T00:01:24Z,84.0,470.895,8.944,20.94,A
2026-01-01T00:01:24Z,84.5,475.731,9.671,23.25,B
2026-01-01T00:01:25Z,85.0,480.995,10.529,24.09,C
2026-01-01T00:01:25Z,85.5,485.260,8.530,21.29,A
2026-01-01T00:01:26Z,86.0,490.184,9.848,22.57,B
2026-01-01T00:01:26Z,86.5,495.515,10.662,23.93,C
2026-01-01T00:01:27Z,87.0,500.065,9.101,20.82,A
2026-01-01T00:01:27Z,87.5,504.852,9.573,23.20,B
2026-01-01T00:01:28Z,88.0,510.199,10.694,24.71,C
2026-01-01T00:01:28Z,88.5,514.771,9.145,21.55,A
2026-01-01T00:01:29Z,89.0,519.712,9.882,22.49,B
2026-01-01T00:01:29Z,89.5,524.990,10.555,23.97,C
2026-01-01T00:01:30Z,90.0,529.565,9.152,21.48,A
2026-01-01T00:01:30Z,90.5,534.416,9.701,22.38,B
2026-01-01T00:01:31Z,91.0,539.893,10.954,24.63,C
2026-01-01T00:01:31Z,91.5,544.459,9.131,21.37,A
2026-01-01T00:01:32Z,92.0,549.528,10.138,22.79,B
2026-01-01T00:01:32Z,92.5,554.873,10.690,24.18,C
2026-01-01T00:01:33Z,93.0,559.389,9.033,20.87,A
2026-01-01T00:01:33Z,93.5,564.435,10.090,22.76,B
2026-01-01T00:01:34Z,94.0,569.869,10.869,23.91,C
2026-01-01T00:01:34Z,94.5,574.451,9.164,20.99,A
2026-01-01T00:01:35Z,95.0,579.376,9.849,22.62,B
2026-01-01T00:01:35Z,95.5,584.923,11.095,24.26,C
2026-01-01T00:01:36Z,96.0,589.554,9.261,21.48,A
2026-01-01T00:01:36Z,96.5,594.545,9.983,22.38,B
2026-01-01T00:01:37Z,97.0,600.037,10.982,24.38,C
2026-01-01T00:01:37Z,97.5,604.775,9.476,21.32,A
2026-01-01T00:01:38Z,98.0,609.934,10.320,23.12,B
2026-01-01T00:01:38Z,98.5,615.371,10.872,24.39,C
2026-01-01T00:01:39Z,99.0,620.089,9.437,21.12,A
2026-01-01T00:01:39Z,99.5,625.198,10.217,22.96,B
2026-01-01T00:01:40Z,100.0,630.865,11.334,24.82,C
2026-01-01T00:01:40Z,100.5,635.552,9.375,21.56,A
2026-01-01T00:01:41Z,101.0,640.581,10.057,22.48,B
2026-01-01T00:01:41Z,101.5,646.158,11.154,24.80,C
2026-01-01T00:01:42Z,102.0,650.839,9.361,21.69,A
2026-01-01T00:01:42Z,102.5,656.145,10.614,22.74,B
2026-01-01T00:01:43Z,103.0,661.804,11.317,24.78,C
2026-01-01T00:01:43Z,103.5,666.575,9.542,21.64,A
2026-01-01T00:01:44Z,104.0,671.863,10.577,23.03,B
2026-01-01T00:01:44Z,104.5,677.596,11.466,24.84,C
2026-01-01T00:01:45Z,105.0,682.568,9.944,21.52,A
2026-01-01T00:01:45Z,105.5,687.713,10.290,22.70,B
2026-01-01T00:01:46Z,106.0,693.278,11.130,24.53,C
2026-01-01T00:01:46Z,106.5,698.213,9.869,21.01,A
2026-01-01T00:01:47Z,107.0,703.532,10.638,23.18,B
2026-01-01T00:01:47Z,107.5,709.158,11.252,24.49,C
2026-01-01T00:01:48Z,108.0,713.936,9.556,21.70,A
2026-01-01T00:01:48Z,108.5,719.084,10.295,23.46,B
2026-01-01T00:01:49Z,109.0,724.868,11.569,24.61,C
2026-01-01T00:01:49Z,109.5,729.696,9.657,21.90,A
2026-01-01T00:01:50Z,110.0,735.139,10.885,22.63,B
2026-01-01T00:01:50Z,110.5,740.932,11.586,24.84,C
2026-01-01T00:01:51Z,111.0,745.896,9.928,21.70,A
2026-01-01T00:01:51Z,111.5,751.201,10.611,23.43,B
2026-01-01T00:01:52Z,112.0,757.070,11.737,24.39,C
2026-01-01T00:01:52Z,112.5,762.093,10.047,21.45,A
2026-01-01T00:01:53Z,113.0,767.330,10.474,22.84,B
2026-01-01T00:01:53Z,113.5,772.960,11.260,24.93,C
2026-01-01T00:01:54Z,114.0,778.045,10.170,21.15,A
2026-01-01T00:01:54Z,114.5,783.427,10.763,22.94,B
2026-01-01T00:01:55Z,115.0,789.068,11.282,24.33,C
2026-01-01T00:01:55Z,115.5,793.952,9.768,21.79,A
2026-01-01T00:01:56Z,116.0,799.167,10.430,22.73,B
2026-01-01T00:01:56Z,116.5,804.916,11.498,24.07,C
2026-01-01T00:01:57Z,117.0,809.925,10.018,21.66,A
2026-01-01T00:01:57Z,117.5,815.399,10.949,22.76,B
2026-01-01T00:01:58Z,118.0,821.112,11.425,24.60,C
2026-01-01T00:01:58Z,118.5,826.024,9.824,21.65,A
2026-01-01T00:01:59Z,119.0,831.332,10.616,23.25,B
2026-01-01T00:01:59Z,119.5,837.204,11.745,24.88,C
2026-01-01T00:02:00Z,120.0,842.334,10.259,21.62,A
2026-01-01T00:02:00Z,120.5,847.721,10.774,23.44,B
2026-01-01T00:02:01Z,121.0,853.593,11.744,24.66,C
2026-01-01T00:02:01Z,121.5,858.551,9.916,21.38,A
2026-01-01T00:02:02Z,122.0,863.828,10.554,23.40,B
2026-01-01T00:02:02Z,122.5,869.510,11.363,24.85,C
2026-01-01T00:02:03Z,123.0,874.520,10.022,22.07,A
2026-01-01T00:02:03Z,123.5,879.997,10.953,23.58,B
2026-01-01T00:02:04Z,124.0,885.687,11.380,24.61,C
2026-01-01T00:02:04Z,124.5,890.708,10.042,21.43,A
2026-01-01T00:02:05Z,125.0,896.109,10.801,22.98,B
2026-01-01T00:02:05Z,125.5,901.917,11.617,24.13,C
2026-01-01T00:02:06Z,126.0,906.900,9.965,21.58,A
2026-01-01T00:02:06Z,126.5,912.241,10.682,23.03,B
2026-01-01T00:02:07Z,127.0,918.125,11.768,24.82,C
2026-01-01T00:02:07Z,127.5,923.122,9.993,21.79,A
2026-01-01T00:02:08Z,128.0,928.483,10.722,22.85,B
2026-01-01T00:02:08Z,128.5,934.131,11.296,24.43,C
2026-01-01T00:02:09Z,129.0,939.156,10.050,22.04,A
2026-01-01T00:02:09Z,129.5,944.649,10.986,23.17,B
2026-01-01T00:02:10Z,130.0,950.588,11.878,24.63,C
2026-01-01T00:02:10Z,130.5,955.679,10.182,21.58,A
2026-01-01T00:02:11Z,131.0,961.141,10.925,23.66,B
2026-01-01T00:02:11Z,131.5,966.870,11.457,24.35,C
2026-01-01T00:02:12Z,132.0,971.890,10.041,21.71,A
2026-01-01T00:02:12Z,132.5,977.230,10.679,22.69,B
2026-01-01T00:02:13Z,133.0,982.975,11.491,24.62,C
2026-01-01T00:02:13Z,133.5,987.923,9.895,22.06,A
2026-01-01T00:02:14Z,134.0,993.321,10.796,23.43,B
2026-01-01T00:02:14Z,134.5,999.210,11.778,24.95,C
2026-01-01T00:02:15Z,135.0,1004.174,9.928,21.95,A
2026-01-01T00:02:15Z,135.5,1009.578,10.809,23.36,B
2026-01-01T00:02:16Z,136.0,1015.375,11.594,24.62,C
2026-01-01T00:02:16Z,136.5,1020.368,9.986,21.85,A
2026-01-01T00:02:17Z,137.0,1025.849,10.962,23.51,B
2026-01-01T00:02:17Z,137.5,1031.699,11.699,25.00,C
2026-01-01T00:02:18Z,138.0,1036.734,10.071,21.84,A
2026-01-01T00:02:18Z,138.5,1042.025,10.581,23.00,B
2026-01-01T00:02:19Z,139.0,1047.818,11.586,25.12,C
2026-01-01T00:02:19Z,139.5,1052.756,9.877,21.40,A
2026-01-01T00:02:20Z,140.0,1058.176,10.840,23.23,B
2026-01-01T00:02:20Z,140.5,1063.881,11.409,24.30,C
2026-01-01T00:02:21Z,141.0,1068.792,9.823,22.00,A
2026-01-01T00:02:21Z,141.5,1074.071,10.558,23.12,B
2026-01-01T00:02:22Z,142.0,1079.814,11.486,24.29,C
2026-01-01T00:02:22Z,142.5,1084.706,9.784,22.22,A
2026-01-01T00:02:23Z,143.0,1090.046,10.680,23.18,B
2026-01-01T00:02:23Z,143.5,1095.779,11.466,24.88,C
2026-01-01T00:02:24Z,144.0,1100.561,9.564,21.49,A
2026-01-01T00:02:24Z,144.5,1105.939,10.756,23.06,B
2026-01-01T00:02:25Z,145.0,1111.466,11.054,25.12,C
2026-01-01T00:02:25Z,145.5,1116.320,9.708,21.66,A
2026-01-01T00:02:26Z,146.0,1121.563,10.486,23.54,B
2026-01-01T00:02:26Z,146.5,1127.095,11.064,24.96,C
2026-01-01T00:02:27Z,147.0,1131.982,9.775,22.12,A
2026-01-01T00:02:27Z,147.5,1137.128,10.292,23.42,B
2026-01-01T00:02:28Z,148.0,1142.654,11.052,24.88,C
2026-01-01T00:02:28Z,148.5,1147.353,9.399,22.11,A
2026-01-01T00:02:29Z,149.0,1152.652,10.598,23.16,B
2026-01-01T00:02:29Z,149.5,1158.149,10.993,25.29,C
2026-01-01T00:02:30Z,150.0,1162.981,9.665,22.18,A
2026-01-01T00:02:30Z,150.5,1168.001,10.040,23.74,B
2026-01-01T00:02:31Z,151.0,1173.589,11.176,24.66,C
2026-01-01T00:02:31Z,151.5,1178.310,9.442,22.11,A
2026-01-01T00:02:32Z,152.0,1183.527,10.434,23.04,B
2026-01-01T00:02:32Z,152.5,1189.086,11.118,24.52,C
2026-01-01T00:02:33Z,153.0,1193.939,9.706,21.80,A
2026-01-01T00:02:33Z,153.5,1199.164,10.449,23.59,B
2026-01-01T00:02:34Z,154.0,1204.685,11.043,24.63,C
2026-01-01T00:02:34Z,154.5,1209.372,9.373,21.51,A
2026-01-01T00:02:35Z,155.0,1214.331,9.918,23.59,B
2026-01-01T00:02:35Z,155.5,1219.745,10.829,25.13,C
2026-01-01T00:02:36Z,156.0,1224.312,9.134,22.10,A
2026-01-01T00:02:36Z,156.5,1229.411,10.197,23.19,B
2026-01-01T00:02:37Z,157.0,1234.714,10.606,24.79,C
2026-01-01T00:02:37Z,157.5,1239.321,9.214,21.50,A
2026-01-01T00:02:38Z,158.0,1244.224,9.806,22.96,B
2026-01-01T00:02:38Z,158.5,1249.638,10.828,25.29,C
2026-01-01T00:02:39Z,159.0,1254.125,8.974,21.44,A
2026-01-01T00:02:39Z,159.5,1259.146,10.041,23.73,B
2026-01-01T00:02:40Z,160.0,1264.632,10.971,25.03,C
2026-01-01T00:02:40Z,160.5,1269.118,8.972,22.26,A
2026-01-01T00:02:41Z,161.0,1273.923,9.611,23.62,B
2026-01-01T00:02:41Z,161.5,1279.109,10.370,24.83,C
2026-01-01T00:02:42Z,162.0,1283.600,8.983,21.81,A
2026-01-01T00:02:42Z,162.5,1288.380,9.560,23.17,B
2026-01-01T00:02:43Z,163.0,1293.741,10.723,24.90,C
2026-01-01T00:02:43Z,163.5,1298.216,8.950,21.66,A
2026-01-01T00:02:44Z,164.0,1303.118,9.803,23.28,B
2026-01-01T00:02:44Z,164.5,1308.368,10.501,25.36,C
2026-01-01T00:02:45Z,165.0,1312.924,9.112,21.50,A
2026-01-01T00:02:45Z,165.5,1317.806,9.764,23.82,B
2026-01-01T00:02:46Z,166.0,1322.930,10.247,24.85,C
2026-01-01T00:02:46Z,166.5,1327.316,8.773,22.39,A
2026-01-01T00:02:47Z,167.0,1332.034,9.434,23.85,B
2026-01-01T00:02:47Z,167.5,1337.243,10.419,24.63,C
2026-01-01T00:02:48Z,168.0,1341.683,8.880,21.50,A
2026-01-01T00:02:48Z,168.5,1346.277,9.187,23.65,B
2026-01-01T00:02:49Z,169.0,1351.228,9.903,24.87,C
2026-01-01T00:02:49Z,169.5,1355.385,8.314,21.96,A
2026-01-01T00:02:50Z,170.0,1360.139,9.507,23.90,B
2026-01-01T00:02:50Z,170.5,1365.034,9.791,24.56,C
2026-01-01T00:02:51Z,171.0,1369.355,8.641,21.55,A
2026-01-01T00:02:51Z,171.5,1373.889,9.067,23.13,B
2026-01-01T00:02:52Z,172.0,1378.750,9.724,24.54,C
2026-01-01T00:02:52Z,172.5,1382.959,8.417,22.26,A
2026-01-01T00:02:53Z,173.0,1387.565,9.212,23.87,B
2026-01-01T00:02:53Z,173.5,1392.546,9.963,24.92,C
2026-01-01T00:02:54Z,174.0,1396.700,8.308,22.50,A
2026-01-01T00:02:54Z,174.5,1401.240,9.079,23.28,B
2026-01-01T00:02:55Z,175.0,1405.987,9.494,25.47,C
2026-01-01T00:02:55Z,175.5,1410.075,8.176,21.89,A
2026-01-01T00:02:56Z,176.0,1414.549,8.948,23.61,B
2026-01-01T00:02:56Z,176.5,1419.380,9.661,24.61,C
2026-01-01T00:02:57Z,177.0,1423.341,7.923,21.97,A
2026-01-01T00:02:57Z,177.5,1427.637,8.593,23.94,B
2026-01-01T00:02:58Z,178.0,1432.382,9.490,25.23,C
2026-01-01T00:02:58Z,178.5,1436.395,8.025,22.31,A
2026-01-01T00:02:59Z,179.0,1440.790,8.791,23.82,B
2026-01-01T00:02:59Z,179.5,1445.426,9.271,25.55,C
2026-01-01T00:03:00Z,180.0,1449.212,7.571,22.50,A
2026-01-01T00:03:00Z,180.5,1453.589,8.754,23.94,B
2026-01-01T00:03:01Z,181.0,1458.105,9.033,24.68,C
2026-01-01T00:03:01Z,181.5,1462.030,7.849,22.06,A
2026-01-01T00:03:02Z,182.0,1466.202,8.343,24.08,B
2026-01-01T00:03:02Z,182.5,1470.654,8.905,25.13,C
2026-01-01T00:03:03Z,183.0,1474.407,7.506,21.73,A
2026-01-01T00:03:03Z,183.5,1478.525,8.236,23.81,B
2026-01-01T00:03:04Z,184.0,1483.168,9.286,24.64,C
2026-01-01T00:03:04Z,184.5,1486.883,7.430,21.71,A
2026-01-01T00:03:05Z,185.0,1491.060,8.353,23.20,B
2026-01-01T00:03:05Z,185.5,1495.385,8.651,25.01,C
2026-01-01T00:03:06Z,186.0,1499.099,7.428,21.94,A
2026-01-01T00:03:06Z,186.5,1503.011,7.823,23.93,B
2026-01-01T00:03:07Z,187.0,1507.504,8.986,25.49,C
2026-01-01T00:03:07Z,187.5,1511.024,7.041,22.06,A
2026-01-01T00:03:08Z,188.0,1514.905,7.762,23.70,B
2026-01-01T00:03:08Z,188.5,1519.190,8.569,24.99,C
2026-01-01T00:03:09Z,189.0,1522.788,7.197,22.61,A
2026-01-01T00:03:09Z,189.5,1526.704,7.832,23.26,B
2026-01-01T00:03:10Z,190.0,1531.018,8.628,25.11,C
2026-01-01T00:03:10Z,190.5,1534.610,7.185,22.38,A
2026-01-01T00:03:11Z,191.0,1538.534,7.847,23.87,B
2026-01-01T00:03:11Z,191.5,1542.745,8.422,25.57,C
2026-01-01T00:03:12Z,192.0,1546.222,6.954,21.97,A
2026-01-01T00:03:12Z,192.5,1549.873,7.303,23.55,B
2026-01-01T00:03:13Z,193.0,1554.010,8.275,24.78,C
2026-01-01T00:03:13Z,193.5,1557.272,6.522,22.26,A
2026-01-01T00:03:14Z,194.0,1560.819,7.094,24.01,B
2026-01-01T00:03:14Z,194.5,1564.925,8.212,25.01,C
2026-01-01T00:03:15Z,195.0,1568.101,6.352,22.05,A
2026-01-01T00:03:15Z,195.5,1571.661,7.121,23.95,B
2026-01-01T00:03:16Z,196.0,1575.650,7.978,25.23,C
2026-01-01T00:03:16Z,196.5,1578.710,6.119,22.62,A
2026-01-01T00:03:17Z,197.0,1582.198,6.976,23.54,B
2026-01-01T00:03:17Z,197.5,1585.984,7.573,25.70,C
2026-01-01T00:03:18Z,198.0,1589.070,6.171,22.63,A
2026-01-01T00:03:18Z,198.5,1592.665,7.190,24.19,B
2026-01-01T00:03:19Z,199.0,1596.602,7.874,25.65,C
2026-01-01T00:03:19Z,199.5,1599.746,6.288,22.53,A
2026-01-01T00:03:20Z,200.0,1603.029,6.565,23.76,B
2026-01-01T00:03:20Z,200.5,1606.819,7.580,25.73,C
2026-01-01T00:03:21Z,201.0,1609.846,6.054,22.45,A
2026-01-01T00:03:21Z,201.5,1613.237,6.781,23.61,B
2026-01-01T00:03:22Z,202.0,1617.061,7.648,25.40,C
2026-01-01T00:03:22Z,202.5,1619.897,5.673,22.22,A
2026-01-01T00:03:23Z,203.0,1623.281,6.768,23.79,B
2026-01-01T00:03:23Z,203.5,1626.796,7.029,24.91,C
2026-01-01T00:03:24Z,204.0,1629.640,5.689,22.33,A
2026-01-01T00:03:24Z,204.5,1632.925,6.569,23.46,B
2026-01-01T00:03:25Z,205.0,1636.435,7.019,25.50,C
2026-01-01T00:03:25Z,205.5,1639.010,5.150,21.88,A
2026-01-01T00:03:26Z,206.0,1642.107,6.195,23.55,B
2026-01-01T00:03:26Z,206.5,1645.447,6.679,25.05,C
2026-01-01T00:03:27Z,207.0,1648.117,5.341,22.32,A
2026-01-01T00:03:27Z,207.5,1650.995,5.756,23.37,B
2026-01-01T00:03:28Z,208.0,1654.478,6.965,25.44,C
